1	 buildings 	 5
440953.419008	4428384.184299
440949.749585	4428477.168031
441019.445135	4428479.892589
441023.115406	4428386.908899
440953.419008	4428384.184299
2	 buildings 	 13
442416.817245	4429014.201724
442431.160007	4429014.515226
442430.938416	4429024.744065
442446.195161	4429025.072893
442446.308012	4429019.664191
442455.542346	4429019.860896
442456.733138	4428964.962795
442448.267476	4428964.771381
442448.621192	4428948.289763
442434.022089	4428947.978164
442433.882889	4428954.419774
442418.122022	4428954.083677
442416.817245	4429014.201724
3	 buildings 	 8
442542.384113	4428802.113866
442541.800364	4428824.360395
442551.553805	4428840.121679
442620.945176	4428842.718760
442621.507866	4428824.447776
442564.271333	4428821.958866
442564.900203	4428802.288222
442542.384113	4428802.113866
4	 buildings 	 10
443016.009699	4428832.356237
443023.830083	4428841.036869
443075.222391	4428841.018909
443075.613294	4428814.476492
443041.648675	4428813.853251
443043.874632	4428739.192882
443076.815761	4428739.968147
443077.348816	4428714.157561
443019.091350	4428713.427347
443016.009699	4428832.356237
5	 buildings 	 14
442541.707516	4428985.219531
442535.136382	4428997.261887
442538.186632	4429012.118772
442549.264937	4429021.251827
442561.765932	4429020.846582
442572.343093	4429003.177410
442627.570939	4428997.708529
442632.137148	4428922.463984
442605.774100	4428926.316020
442605.188265	4428946.041861
442571.734239	4428981.339633
442559.966395	4428977.042165
442546.782256	4428978.607425
442541.707516	4428985.219531
6	 buildings 	 13
441770.963964	4430090.892138
441769.722037	4430111.622540
441774.009200	4430111.645263
441773.914739	4430122.739329
441793.185953	4430123.446962
441794.244622	4430112.245582
441799.533856	4430112.649311
441801.076268	4430092.116497
441796.499691	4430092.218122
441797.409852	4430079.463256
441775.780051	4430078.562669
441775.693910	4430090.744907
441770.963964	4430090.892138
7	 buildings 	 14
442356.305732	4429371.999763
442452.643609	4429374.202455
442454.535897	4429314.957192
442431.644455	4429287.535789
442357.059009	4429286.501137
442357.610647	4429298.445314
442349.297309	4429298.019671
442348.707724	4429319.411247
442339.762686	4429319.023712
442339.314370	4429350.041751
442346.628032	4429350.419431
442347.128807	4429375.944700
442355.197472	4429375.650405
442356.305732	4429371.999763
8	 buildings 	 11
441891.297580	4428000.352555
441903.710260	4428000.468841
441903.886642	4427983.277872
441873.517983	4427955.148932
441873.439849	4427944.911264
441905.058058	4427918.474722
441905.229296	4427901.727971
441891.433857	4427900.656145
441848.241818	4427938.407661
441848.384590	4427957.106395
441891.297580	4428000.352555
9	 buildings 	 5
442910.945788	4428956.735217
442931.499134	4428957.202976
442934.008240	4428817.912834
442914.194317	4428817.006446
442910.945788	4428956.735217
10	 buildings 	 12
442518.348883	4429988.591142
442604.311992	4429990.873973
442604.097361	4430011.107852
442584.626307	4430011.099249
442536.281704	4430011.075444
442535.919136	4430061.458965
442584.766152	4430061.334615
442585.037673	4430045.253358
442604.771854	4430045.060097
442604.243136	4430080.265112
442517.038246	4430079.646238
442518.348883	4429988.591142
11	 buildings 	 22
442416.658675	4429851.320677
442525.089576	4429854.365470
442524.210706	4429872.561153
442524.050486	4429881.878975
442523.894428	4429896.271487
442506.233613	4429895.138967
442506.744992	4429883.697546
442493.026758	4429883.312586
442491.711211	4429918.301466
442488.078200	4429926.879325
442481.004408	4429933.306719
442469.680388	4429935.568772
442460.291982	4429932.919157
442453.510461	4429926.041264
442450.012591	4429917.472885
442450.806361	4429882.399104
442436.027198	4429881.755762
442435.564869	4429891.764347
442415.615509	4429890.660450
442415.951111	4429872.935245
442416.012617	4429865.261620
442416.658675	4429851.320677
12	 buildings 	 16
442354.697869	4429808.149284
442341.815615	4429807.658322
442341.165518	4429824.430933
442378.052436	4429825.839469
442374.702478	4429912.401638
442338.747124	4429911.030487
442338.153587	4429926.248052
442376.227511	4429927.714204
442376.427023	4429922.482508
442391.931638	4429923.075824
442392.317471	4429913.123336
442394.991269	4429913.225248
442396.555374	4429872.771084
442396.847513	4429865.106818
442398.982804	4429809.846135
442354.697869	4429808.149284
13	 buildings 	 5
442396.555374	4429872.771084
442415.951111	4429872.935245
442416.012617	4429865.261620
442396.847513	4429865.106818
442396.555374	4429872.771084
14	 buildings 	 5
442597.566650	4429798.529617
442610.002572	4429798.724557
442609.839815	4429826.975431
442597.087135	4429826.671837
442597.566650	4429798.529617
15	 buildings 	 5
442551.040465	4429882.330373
442524.050486	4429881.878975
442524.210706	4429872.561153
442551.260495	4429873.012101
442551.040465	4429882.330373
16	 buildings 	 15
442005.387780	4429886.479507
442054.834837	4429889.856207
442054.811083	4429886.736041
442063.924662	4429886.910962
442063.708543	4429889.933014
442069.872249	4429889.641802
442069.606566	4429897.372512
442073.480478	4429898.064817
442074.089810	4429902.946131
442058.118655	4429902.778981
442057.928488	4429910.331446
442052.302282	4429910.551949
442052.253589	4429904.156164
442004.590634	4429901.787497
442005.387780	4429886.479507
17	 buildings 	 9
442016.051736	4429950.037798
442051.369404	4429951.789829
442052.703689	4429943.084896
442071.704252	4429944.084018
442070.135889	4429960.186285
442051.700324	4429959.360537
442049.692017	4429969.269882
442014.618944	4429967.105132
442016.051736	4429950.037798
18	 buildings 	 5
442105.011284	4430018.319159
442185.951995	4430020.491110
442185.486025	4430035.596682
442105.312163	4430033.174608
442105.011284	4430018.319159
19	 buildings 	 28
441959.068233	4429940.467024
441971.573799	4429940.860266
441971.262610	4429944.849133
441981.528956	4429945.015165
441980.676266	4429954.149515
441993.402565	4429954.374543
441992.054942	4429968.043275
441978.950897	4429967.554622
441978.843697	4429978.137971
441989.931140	4429978.475427
441990.263985	4429975.086035
442008.442068	4429975.747029
